text,depressive
I din’t even read facebook and I feel a bigger emptiness in my empty world.,0
If I had a restaurant that was completely empty and we had a patio that had dusty tables and some dude in a mask and his mom came in just before noon asking to sit on the patio I feel like I’d just offer to wipe one down,0
"I feel like Gerrrek is the most versatile card. can ramp, add bodies or be a win con. Natural order is very strong but doesn't help much on an empty board. The last one seems good for grinding out value not sure how much GY hate you run into or if you deck has any ways to put thing in the graveyard",0
"😁 I feel so empowered today, after watching employees posts of empty stores🤩",0
i love it here,0
"I don’t really get the mindset of comments like this one on the Boss Monster Facebook page. It’s about our new game, Dungeon Kart, which uses GameCube-inspired 3D rendered art instead of SNES-inspired pixel art. We’ve been doing pixel art for 10 years… I feel like it’s okay to shake things up? 🤷🏻‍♂️",0
"I am starting to feel burnout from drawing as right now my head is empty and nothing comes up in mind what else to draw. Still, I am going to find the things I can do.",0
"I would probably watch the shit out of Andor if it were on any other service. Whenever we've had free samples of Disney+, scrolling through its offerings always made me feel vaguely anxious and empty inside.",0
"How i feel trying to empty my inboc this morning:

youtube.com/watch?v=TSwrJr…",0
I FEEL LIKE I SHOUDL DRAW IT TO FILL UP THE EMPTY SPACE,0
I was joking a little but no actually now that I know what its for I feel very empty,0
"I don't know why I bother checking my feed when it's just going to be empty for no reason

Bluesky, you're bad and should feel bad

Build a better system",0
,0
Yaaayyy I feel a vast and empty meaninglessness,0
Love To Take A Hot Steamy Shit So I Can Feel Empty And Douched Before I leave the House,0
"I feel the same.  I feel like it's empty here, but even still, I see more actual people, and in a reasonable amount of time (not three days after they posted).",0
"In hindsight it's such a dumb thing, and I didn't have any space to even give it any serious thought. I was already putting in 200% and running on empty. I feel so lucky to have had some time only working part time. I've been able to heal a lot of things, & I know a lot of ppl don't get that space.",0
"Thank you handsome. It just sucks because I don't really have anything in my personal life going on, so all I have is work... And I just feel so empty.",0
"I didn't photograph the final doodle of my OC from the stream because as she is my OC I didn't feel she was presentable enough... Lol. But the page was also still half empty.
I promise I'll draw a real illustration of her later!",0
the extent to which i agree with a dude that open world games ZAEBALI esp when they're open world for no fucking reason and feel empty & personality-less af,0
"Why is it always so hard to start a new blog... i feel like i want to say something but ""no thoughts head empty"" | почему всегда так сложно начинать новый блог... я чувствую будто хочу что-то сказать но ""no thoughts head empty""",0
Why do I feel like the Bruins would have been better off taking a penalty so they could should at an empty net at will?,0
"The thing they don't really tell you about direct grief is how utterly paralyzing it is. I'm going through the motions and doing the things I need to do, but my heart is just empty and I feel pointless. 
And of course *gestures wildly* none of this helps either.",0
"Hey, good morning people. Hope you have a good day and a nice weekend❤️🫂

I've kinda had conflicting thoughts lately, I feel like I want to return to Twitter again. Not because I like it, no not at all. But mainly it seems most friends don't really care about this place and it kinda feels empty.",0
first game i ever platinum’d and now i feel empty after completing all the dlc…,0
"I empty a bottle, I feel a bit free.",0
"My illness is my identity because it has eaten up every other aspect of me. It has robbed me of experiences and kept me from learning skills. 
I feel empty

If it is upsetting to you when people ""make their illness their identity"" maybe help us fight the systematic injustice that keeps us ill
#mecfs",0
"I've learned to be cautious about Space games. Mostly because of how frustrated I get with big empty maps where nothing is going on and nothing is fun to look at.

Elden Ring and Ghost of Tsushima are both really good examples of how to make an open world feel vibrant and alive.",0
"Having one of those nights where the heart feels empty, and the mind feels unfulfilled. 

Wanna say I feel something good is coming but just feel hollow instead.

Sorry... bad mood will probably pass on its own by tomorrow.",0
"Hell has got to be just standing in an empty hallway, muttering old arguments to a wall.",0
,0
"Thank you for seeing me and for the kind words. It really does feel empty but I know I need to strike while the iron is hot, and there have been some unexpected comforts.",0
"I wish hyv would do some small updates to mond and liyue maps, some areas feel so empty compared to newer regions, like idk just add some buildings and ruins here and there",0
"Touch me. I don't care about the world outside. All I can see is you.
Touch me please
Feel the wet slip of my craving, the empty hold of my gaping addiction for you
Touch me.
Here. Now.
And let the world disappear
In the fumes of sex and absolution.",0
"Why is it always so hard to start a new blog... i feel like i want to say something but ""no thoughts head empty"" | почему всегда так сложно начинать новый блог... я чувствую будто хочу что-то сказать но ""no thoughts head empty""",0
Why do I feel like the Bruins would have been better off taking a penalty so they could should at an empty net at will?,0
just wrote this,0
"i feel like bsky is dying idk, it feels so empty and the tl doesn't have anything new :(",0
"Well that was... Odd... I had a dream i got a girlfriend while hanging out with some friends at my house, it slipped out that I liked her then boom girlfriend lol, never had a dream where i straight up got a gf before lol, it was nice but at the same time i just feel empty and sad now",0
"Sorry I just feel the need to show off my Halloween profile because it makes me laugh 

No thoughts
Head empty",0
"Is it odd the concept of love leaves an empty feeling inside? I feel sadness at the passing of my father and pets. But when family or someone who said they loved me do something like hug me, i just feel empty inside. Getting a gift fills me more with dread and regret then happiness",0
"just had to say goodbye to dumb little furry orange. she was 14 years old and sweetiest, roundest girl to ever paw me in the face and scratch on my doors.

my life is going to feel a lot more empty without a big purring pillow fighting for bed real estate.

i love you big girl. rest in peace orange.",0
https://bsky.app/profile/scab-eater.bsky.social/post/3l75j4b3gvd25,0
"They all have their appeal, and I think some fit contexts better than others.

- Empty/Glowing Eyes are the ""Standbys"".

- Heart/Kaa/Spiral tend to be ""Mesmerizing and makes you feel good"". 

- Shrunken Irises/Whited Out lean toward ""Unsettling Gazes and low-key creepy"".",0
An attempt was made. It’s not high art or anything — but it feels “good” to put some feelings into words.,0
"I can't unmute it, as it isn't my list, and when I go to my lists it shows as empty.

Feel like I've wrecked my Bluesky follows now 😔",0
Ughh thisss :/ makes me feel so empty when I wake up now,0
3/3,0
"I feel empty & done 

On the recruitment part, yes we gambled in the summer & it hasn't worked

We've gone for Plan B, C, etc. in the past so I don't know why we decided to delay the attacking signing for another year & settle with the Sterling loan

I'm expecting top picks for the summer",0
the timing of this question on my tl is so funny bc only yesterday was i clutching my head over the lyrics to taidada by zutomayo #raon,0
"Something about those mostly empty rooms, half the time the people in them feel vaguely threatening even though it's just a trivia game. I think the NPCs would give vague flavor text about being trapped in these rooms because they couldn't solve the trivia questions? Which added a lot to the vibe.",0
"Is there a way to see more posts like in twitter to ""discover"" new people and similar interests? I see discover tab, but eh... meh xD just wondering because I feel it empty when I know is not that way hahaha",0
"I wish I wouldn't feel like crying all the time.
What is going on?
I feel empty and irrelevant. I'm going nowhere so why should I go at all?
I thought I was over these thoughts but here they are again for stupid reasons and I don't think I can talk to anyone about this.",0
"I would probably watch the shit out of Andor if it were on any other service. Whenever we've had free samples of Disney+, scrolling through its offerings always made me feel vaguely anxious and empty inside.",0
"How i feel trying to empty my inboc this morning:

youtube.com/watch?v=TSwrJr…",0
"i'm kinda going full on returvn when it comes to ""blob"" comics. yeah sure many weren't great but at least back in the 00s they had something put into them. when i see ""blob"" comics today a lot of them feel as if there's no one behind their creation. they feel empty.",0
celebrating 9 followers without any friends today… god i feel so empty,0
"I KNOWWW, I was kinda hoping we'd get more Solas angst but now I feel so empty",0
i feel empty. there's not much left.,0
"I get that…life can just feel sad and empty at times.

Keep at it, and just know that this is temporary, okay? Things will get better soon. ^w^",0
"I was coming here to make a joke that Battlefield Earth is the most comics, but now it feel empty.",0
i can feel that shot of jack daniels i took on an empty stomach earlier eat away at my stomach lining,0
I’m just… not ‘feeling’ this morning.  I feel cold and empty and devoid of life,0
,0
My hometown mall is so sad and empty and I can’t help but feel partially responsible for shoplifting so many Vampire: The Masquerade books from Walden in 1995.,0
"Share your #wip or unfinished pieces!
First slide from a comic I’m cooking up 😌 Second slide from a comic I gave up on

Feel free to join the art train!
@takitakos.bsky.social
@spidertams.bsky.social
@nsee.bsky.social
@crownprinxe.bsky.social
@ anyone else!",0
And I feel like a total a-hole for not keeping myself better informed. As a female athlete having played in empty stadiums I should know better. I'm sorry ladies.,0
,0
What to Do If You Feel Empty Inside www.verywellmind.com/i-feel-empty... #mentalhealth,0
lol I feel the same way my page is so.. empty,0
"I have crossed 200 followers!! Thank you for giving me a try!! I hope you enjoy our guys. Feel free to comment cuz i luv to yap, ill yap back as long as my head aint empty!!! (It does happen tho haha)",0
"I've just finished (like, 10 minutes ago) my rewatch and I feel so empty now ❤️‍🩹",0
"Real avatars (like bots & animesh) are admittedly not nearly that well optimized and would cause a lot of lag. I can understand why they use these weird stand-ins, but it just makes SL feel even more lonely.. Like walking around in an empty dead mall or museum.",0
I feel this place so empty 😭 but less toxic than Twitter.,0
I have def blocked a few empty unfamiliar accounts and I hope it was nobody who just hadn’t set up yet cuz I’d feel bad 😭,0
"Yeah, don’t watch it. I thought Part 1 was kinda empty but largely kinda fun if you didn’t think about it too much. Part 2 made Part 1 feel like frigging Shakespeare.",0
"I keep going back and forth on how to feel about the impending doom of our species.

The earth has something like another 500 million years of habitability and it's kind of fun to imagine alien explorers landing here and just finding an empty desert filled with funko pops.",0
"You're right, Fen. I appreciate your wisdom and words. This isn't about that, and I can't really talk about what it is. 

I'm just tired, and I feel empty.",0
"The day after Elon took over 🐦 I deleted my account and left. Eventually arrived at Zuck's🧵 but that place banned me for telling someone they were ""a silly sausage"" whilst homophobic and racists got a free pass. I really hope it's better here. Does feel like an empty void though.",0
,0
I was confronted by an unwell man in an empty street. He could've beaten me and no one would've been there to help. I didn't feel anything in what could've easily been a bad situation. Am I cooked? Where's my survival instincts?? Will to live???,0
"10k is WILD, can’t believe how fast you’ve grown on this platform. Well deserved, feel like I can’t sit this share out! Here’s so new and old cute girls I can share:",0
"As for Tumblr, that might get deactivated once the sideblogs' queues empty. One sideblog is currently being held up by a secret second account, but I really don't feel like keeping the rest around. Pretty much the only thing I do want to keep are tags left by one drippingmoon, ngl.",0
I've made it to these forbidden lands and  I feel like I'm sprinting through an empty mall looking for my friends,0
"// i feel so alone. so solitary. so empty.
// i can't fulfill this, i just ruin every single thing.",0
"I feel like a musician staring at the empty lifeboat davits and deciding, ""well, hell, I might as well go play on the poop deck with the other guys.""",0
I drew nothing for myself today. I feel a little empty,0
"You can kind of feel it, the momentum shifting here. More diverse and interesting conversations happening. More people participating versus lurking.

Posting starts conversations vs shouting into the void. I have 50k followers on Twitter, but it still feels like an empty room.",0
"I like doing bluemound but some of the shuttles are either super sketchy or unreliable. Had to walk all the way back to this year when the shuttle just made one sweep for passengers, was filled up, and then never came back

Feel like that huge empty area needs to be like a beer pavilion or something",0
"Oh, mother, I can feel
The soil falling over my head
And as I climb into an empty bed
Oh, well
Enough said",0
Coming back to bluesky to emo post. I feel empty. Like my heart's been ripped out.,0
"geuinely i think i picked the wrong activity for my 'relaxing' night in :/  i think i'd have had a better time reading or watching tv lol.  i just feel kinda empty and unfulfilled now, boo",0
"❄️: This place is as empty and quiet as ever.
🎼: Yeah. I feel like I could get a lot of work done here. Maybe I'll bring my equipment some time.",0
"🌕 ʀᴀʙʙɪᴛ ✦

I NEED TO FEEL SOMETHING
IDC IF ITS ANGST OR NOT JUST

AAAAAA ANYTHING ASIDE FROM EMPTY 😭",0
You pulled out to go grab the poppers remember??? Don’t gaslight me I feel empty,0
"I feel such deep anger towards this empty man, but also for the American people that gave him power. The responsibility is yours.",0
seeing a thing id want to share with her and just feeling empty. there's nothing. i feel dead,0
i feel so empty? i dunno. unwanted maybe...,0
"its a beautiful thing to help take care of people’s pets during their worst hours. anyone who says any different is in for a shock at how bad things will get for us all as these catastrophes increase. never forget, we’re all one inch of bad luck away from homelessness www.cnn.com/weather/live...",0
"The wildest part is how I can just feel all the strength go out of my hand that I'm doing the stab with as soon as it goes in

It's like my body goes HEY WAIT WHAT ARE YOU DOING ABORT ABORT DIVERT POWER and then I gotta push extra hard to actually empty put the syringe",0
"I feel bad about seeming rude since people coming up to talk to people is rare here HOWEVER I refuse to fuck around and find out 
bro didn't care to notice how I, like everyone else, went to sit all alone on a mostly empty train cart at 7am",0
"Whenever I've tried consuming right wing media, aside from it making me mad, it also makes me feel bad, like in a 'I just ate too much garbage' kind of way, all empty calories, no interest in art or culture or anything mentally nourishing. Makes sense AI has become the aesthetic for their movement",0
i feel empty any canadians wanna live stream their fyp?,0
"I feel your pain, truly, I feel your pain... Trying to say anything logical to these red hats is like pounding on a door to an empty room.... Someone said, ""This too shall pass.""  I just hope there's something left after the storm.",0
I entered the worst depressive episode of my life after finishing my large 2.5 year project 😅 I love it to death and am proud I finished it but dang did I feel empty and worthless afterwards. I think it's mostly normal to feel a weird mix of good and bad and just... weird... idk...,0
I see people hope that there is something big coming not just in person event but its hard to feel hopeful i just feel empty. #obeyme,0
"Predict your 2025 with an image from your phone.

I actually have some goals to accomplish, but also need to stay healthy. Need to make some changes in my life for sure to not feel so empty day to day.",0
When I feel empty I just watch avatar: the last Airbender and it fixes it every single time,0
"@japantimes: With an unhurried pace, ""When Morning Comes, I Feel Empty"" quietly portrays the pressures of modern work culture and the importance of friendships. https://t.co/YWRpzEpS6n",0
"I feel the need to talk about Saints Of The Empty Throne, since I was retooling it a little today for bookmarks and to make a print version, and remembered one of my design bits I don't know if I ever talked about.

1/?",0
I've never felt so empty after finishing a game like I feel now after exploring every single secret in Death Stranding. What shall I do 😭😭,0
"same I feel very 🥺🥺 I’m glad they’re not backtracking, makes me feel hopeful that it is not just an empty statement to placate fans but something they took to heart",0
"When I feel hollow & empty, these 4 words fill me back up again",0
I don’t know what I’m supposed to say here yet? But I feel like an empty page is not conducive to finding old friends in this strange new place 😅,0
"this year literally ended with a death, i feel so empty right now",0
"I feel community-fatigue. This is a community, build a community, leverage your community, the community here, the community there, the community-of-the-app vs. the community-of-the-interest, discord, tumblr, tiktok.. 
I find this fetishizing.

Hollow. Empty. Vacant. ""Community""",0
https://bsky.app/profile/mipha13.bsky.social/post/3lbmvhhfkz22r,0
"I think it tried to be reboot of the series, but also had to be a sequel at the same time. I think not importing decisions from the previous games was a big mistake and it made the references to Inquisition feel very empty to me. And made a lot of cameos impossible to happen.",0
Some colored pencil drawings I did a while ago :),0
"Thank you!:) I feel that the empty beach and sea are beautiful, sometimes  ephemeral and magnificent, and because you can associate so many different things with a single scene, it's really interesting :)",0
I feel like going to the stores to see if they're empty...hoping,0
the trump anti trans legislation proposal is terrifying honestly and i can only hope it's empty posturing. feel like we're living on the verge of something irreversibly terrible,0
"Man, I feel like I'm in an empty warehouse right now",0
"Money is only one part of the equation, and with how things are now, it'd be......emotionally meaningless, I guess. Less acute stress, but I'd still feel empty inside.

I'm just so tired and tired of crying. And the people I live w/aren't used to dealing with my emotions, so it only helps so much.",0
"I'm so done...
With the people I live with...

I feel so empty...",0
my stomach was hurting and empty so i ate a banana and now it doesnt hurt and i feel better. unsure what to think about this,0
"Finished up Battlestar Galatica yesterday and overall I really enjoyed this show!

I recommend people to go check it out, especially if you have an interest in things such as Expanse or Mass Effect because this was definitely an inspiration!

I do feel a tad empty after finishing it.. 😭",0
"@lukeoneil47.bsky.social is worth a read after this week. 

www.welcometohellworld.com/no-one-learn...",0
"I feel like I’ve got nothing left to say.
Nearly 4 years into this, bedbound and lost hope of recovery.
I’ve raged against the system, decried the injustice, pleaded for understanding and yet
nothing has changed.
 I just feel empty, spent, used up, I’ve lost faith in humanity in so many ways.",0
"i know we all already know ""dont fuck with gamers"" type posts are like comically ridiculous but i got reminded of one and im really thinking about how some ppl are obsessed with making empty boasts about nothing b/c they feel threatened LMAO",0
"jesus christ i hate looking at myself because it reminds me of empty promises, broken dreams, and how much i'm a failure to myself and those around me. i know i'm not, i just feel like it.",0
"And i don't mean responses like ""I'm sorry to hear that"" or ""I agree with you."" but the same memetic phrases that make it feel like a soulless and empty reaction. Like reacting for the sake of it. Like everyone is trying to be the most original or funniest person ever. and I have done that too tbh",0
"i feel like i should clarify to whoever is looking at this page that my follower count is Not Real .
got put on some list or whatever and now i occasionally get followed by near empty accounts with fake bios that only repost, yuck!!!",0
"Watch the pendulum swing side to side, feel your eyes lose your focus with each swoop.

Fuzzy? Good. Empty? Perfect!

Actually, I know a perfect purpose for your miserable little life!

My feet need a girlfriend and your lips and tongue are made to make out with them!

Get to it~",0
"i just got back from a late night ride, probably last of the season cause ice is coming soon, but you never feel as free as you do when you get on a sports bike on a freeway. my head is just empty now, it’s so great.",0
"In the chaos that was this past week, I forgot to share pics of my new furniture. I forgot to take a before photo of my old recliner. This one is the exact same size, just a different colour. Also, this fabric is slippery! I feel like I’m gonna slide off. 😅",0
3kg of Desiree in. I do actually feel better now 🤷‍♀️,0
I feel empty inside,0
"I always crash after such an exciting night, like what am I supposed to now? 

I feel empty, I don’t want to wait another week",0
I've got my giant hit discoteque album. I empty a bottle and I feel a bit free. #LostInTheSupermarket #TheClash,0
"A twisted secret,
a fatal flaw
burning holes through
your diseased soul

You smile the smile of the lifeless

Haunts me worse
than the worst curse
Feel like I am riding shotgun in
hell’s empty hearse
going head-on into oncoming traffic
#poetry #TheTrumpYears #poets",0
"Just so… empty. My insides burn almost as much as my eyes. Nauseous, grief stricken. 

Praying helps a bit even though I feel stupid doing it. I can barely bring myself to write in my journal, doing so it too much too real",0
"At the mention of being seen by so many, Udo grunted.

I can only imagine the pressure you must feel. It must be intoxicating at times... suffocating in others.""

He'd notice that nearly empty glass, motioning towards it with a hand. +",0
"I feel empty, what a year",0
"Fallfish like where trout likes, they  swallow and damage dry flies, they laugh at me, they are… but without fallfish, I might feel empty 🤔",0
"I want to sleep forever and wake up in a better place
Somewhere that doesn't feel so empty and lonely all the time",0
never been less empty all i feel is free now,0
"- I wake up in a purple scene, all empty, and I I don't feel anything, it's not emotions or sensations that aren't mine. I take a look below and see me lying on the floor, I got scared, can I see myself? +",0
"Ok I’m probably not gonna beat it today. Charo’s Hidden Grave feels weirdly empty and I feel like I need to look around more. I killed the Furnace Giant up there, but there has to be more than that.",0
Fabulous! I feel seen💫It is always time to empty that fridge. I keep thinking I will truly empty out the kitchen…it’s a concept.,0
"I… feel like season ticket holders ought to get their last month payment waved or a refund. This hockey is not worth the amount charged.

I think all the empty seats attest to this.

I’ll have to reconsider mine if I can get in cheaper every night without it. Don’t think the “perks” are worth it.",0
"I would really like to relinquish control to someone else for a bit.

I've felt such an intense kinship with my plushies the last couple months. I feel empty in a world that demands me to be full.

I just want a day where someone tells me what I can and can't do, and I follow that command.",0
"Man...I know the sinus infection thing isn't helping but I feel so boring lately. Sometimes I'm like ""mm cozy bland resting 🥰"" but other times I feel like I'm so boring right now my friends will forget/be hurt cuz I have so little to discuss. Brain empty",0
"As time passes, Superman begins to resent his tiny factotum, particularly as it begins to show its own initiative in capturing crooks!",0
"it’s a little discouraging and i feel like this app is empty, but bc of that i do prefer to ramble here than twt tbh",0
"i genuinely miss ultraman arc sm, it was something i was looking forward to and it actually helped me a lot and now i just feel empty",0
I cannot describe how gorgeous Dragon Age is and how much fun I'm having taking to everyone and exploring very single corner of the world. They really fine tuned how to make interesting areas to explore that don't feel bloated or too empty.,0
"Right, I can listen to horror podcasts at work, I can use the bathroom on the empty office level if I have the time. I cannot listen to horror podcasts then use the bathroom on the empty level at work and be surprised when that makes it feel like it came from a horror podcast",0
"We raised over £1000 in #WitchesForPalestine. A supposedly Israeli Witch came to bully us in the comments. Is it just me or, if I had ""won"" like they imagine Israel did, I would be out celebrating, not taunting? Still, I am always grateful for this transparency. #witchsky (alt has full transcript)",0
I wished I enjoyed it more but I feel empty afterwards.,0
I thought i remembered it being rough... does it feel empty?,0
"I miss my boy kirishima  🥹 

I miss him being a silly guy with denki and teasing bakugou....

I'm going to feel so empty when the anime is over",0
"Less depressed and more empty feeling now. As always, I bounce back quickly nowadays. I still hate the constant mood swings that make me feel icky, but I try to remember there are good people wishing me well. Wishing you all well too.",0
I feel empty,0
"I struggle with this. I used to get normal signals. I don't even feel ""empty"" much anymore. 

I am..not thin. And it's all very bizarre.",0
flaminghydra.com/not-coming-b...,0
"I feel so at peace after dropping every gacha game i was playing, I feel free and my wallet feels less empty…",0
It's honestly why my twitter is so empty cause I didn't feel like I should post unless it was art or something about streaming again lmaooo,0
"If you are an #ICEagent you're worse than a bastard you are fucking scum of the earth. And I curse you with all of my being to never have a fulfilling happy life and to always feel empty.

Fucking scum.",0
"I’m gonna keep it real. I’m really close to 1000 followers, BUT I feel like some are fake accounts or just empty ones which just isn’t fun for me. I’m gonna block those bc it’s weirdly important to me that my followers are real people who share (in some way) with the community 🖤",0
i miss fezzy i see moots post cat pics and. i feel a little empty inside without her 😭,0
got fucked 4 literally 4 hours straight but i feel so empty. i wish i were still there so he could use me all night nd i wuldnt have 2 think. but i have a headache nd everything hurts nd i’m home nd want to break something and maybe just tear chunks out of my own flesh until i die,0
"The biggest hole for me without the bad place are my NY Rangers reporter list and my Mets reporter list.

Now I'm trying to track them down on the new places, so please let me know if any of them are on here!

I feel empty of Pete Alonso news, tbh.",0
